Year,Country,Type,Count
2013,AE,Advanced,0.0
2013,AE,Intermediate,0.0
2013,AE,Intro,0.0
2013,AR,Advanced,0.0
2013,AR,Intermediate,28.0
2013,AR,Intro,28.0
2013,AT,Advanced,0.0
2013,AT,Intermediate,0.0
2013,AT,Intro,0.0
2013,AU,Advanced,0.0
2013,AU,Intermediate,3.0
2013,AU,Intro,12.0
2013,BB,Advanced,0.0
2013,BB,Intermediate,0.0
2013,BB,Intro,0.0
2013,BD,Advanced,0.0
2013,BD,Intermediate,0.0
2013,BD,Intro,0.0
2013,BE,Advanced,1.0
2013,BE,Intermediate,2.0
2013,BE,Intro,2.0
2013,BG,Advanced,0.0
2013,BG,Intermediate,0.0
2013,BG,Intro,2.0
2013,BJ,Advanced,0.0
2013,BJ,Intermediate,0.0
2013,BJ,Intro,0.0
2013,BO,Advanced,0.0
2013,BO,Intermediate,0.0
2013,BO,Intro,0.0
2013,BR,Advanced,4.0
2013,BR,Intermediate,11.0
2013,BR,Intro,14.0
2013,BS,Advanced,0.0
2013,BS,Intermediate,0.0
2013,BS,Intro,0.0
2013,BT,Advanced,0.0
2013,BT,Intermediate,0.0
2013,BT,Intro,0.0
2013,BW,Advanced,0.0
2013,BW,Intermediate,0.0
2013,BW,Intro,0.0
2013,BZ,Advanced,0.0
2013,BZ,Intermediate,0.0
2013,BZ,Intro,0.0
2013,CA,Advanced,12.0
2013,CA,Intermediate,13.0
2013,CA,Intro,20.0
2013,CH,Advanced,2.0
2013,CH,Intermediate,4.0
2013,CH,Intro,7.0
2013,CI,Advanced,0.0
2013,CI,Intermediate,0.0
2013,CI,Intro,0.0
2013,CL,Advanced,18.0
2013,CL,Intermediate,24.0
2013,CL,Intro,24.0
2013,CM,Advanced,0.0
2013,CM,Intermediate,0.0
2013,CM,Intro,2.0
2013,CN,Advanced,1.0
2013,CN,Intermediate,3.0
2013,CN,Intro,6.0
2013,CO,Advanced,3.0
2013,CO,Intermediate,7.0
