Year,Country,Type,Count
2013,AE,Intro,0.0
2013,AE,Nodal,0.0
2013,AE,Partner,0.0
2013,AE,Public,0.0
2013,AE,Regional,0.0
2013,AE,Seminar,0.0
2013,AE,Symposium,0.0
2013,AE,Webinar,0.0
2013,AR,Intro,0.0
2013,AR,Nodal,27.0
2013,AR,Partner,1.0
2013,AR,Public,0.0
2013,AR,Regional,0.0
2013,AR,Seminar,0.0
2013,AR,Symposium,0.0
2013,AR,Webinar,0.0
2013,AT,Intro,0.0
2013,AT,Nodal,0.0
2013,AT,Partner,0.0
2013,AT,Public,0.0
2013,AT,Regional,0.0
2013,AT,Seminar,0.0
2013,AT,Symposium,0.0
2013,AT,Webinar,0.0
2013,AU,Intro,0.0
2013,AU,Nodal,0.0
2013,AU,Partner,0.0
2013,AU,Public,6.0
2013,AU,Regional,0.0
2013,AU,Seminar,0.0
2013,AU,Symposium,0.0
2013,AU,Webinar,0.0
2013,BB,Intro,0.0
2013,BB,Nodal,0.0
2013,BB,Partner,0.0
2013,BB,Public,0.0
2013,BB,Regional,0.0
2013,BB,Seminar,0.0
2013,BB,Symposium,0.0
2013,BB,Webinar,0.0
2013,BD,Intro,0.0
2013,BD,Nodal,0.0
2013,BD,Partner,0.0
2013,BD,Public,0.0
2013,BD,Regional,0.0
2013,BD,Seminar,0.0
2013,BD,Symposium,0.0
2013,BD,Webinar,0.0
2013,BE,Intro,0.0
2013,BE,Nodal,0.0
2013,BE,Partner,0.0
2013,BE,Public,0.0
2013,BE,Regional,1.0
2013,BE,Seminar,0.0
2013,BE,Symposium,0.0
2013,BE,Webinar,0.0
2013,BG,Intro,0.0
2013,BG,Nodal,0.0
2013,BG,Partner,0.0
2013,BG,Public,1.0
2013,BG,Regional,0.0
2013,BG,Seminar,0.0
2013,BG,Symposium,0.0
2013,BG,Webinar,0.0
2013,BJ,Intro,0.0
2013,BJ,Nodal,0.0
2013,BJ,Partner,0.0
2013,BJ,Public,0.0
2013,BJ,Regional,0.0
2013,BJ,Seminar,0.0
2013,BJ,Symposium,0.0
2013,BJ,Webinar,0.0
2013,BO,Intro,0.0
2013,BO,Nodal,0.0
2013,BO,Partner,0.0
2013,BO,Public,0.0
2013,BO,Regional,0.0
2013,BO,Seminar,0.0
2013,BO,Symposium,0.0
2013,BO,Webinar,0.0
2013,BR,Intro,0.0
2013,BR,Nodal,1.0
2013,BR,Partner,7.0
2013,BR,Public,1.0
2013,BR,Regional,0.0
2013,BR,Seminar,0.0
2013,BR,Symposium,0.0
2013,BR,Webinar,0.0
2013,BS,Intro,0.0
2013,BS,Nodal,0.0
2013,BS,Partner,0.0
2013,BS,Public,0.0
2013,BS,Regional,0.0
2013,BS,Seminar,0.0
2013,BS,Symposium,0.0
2013,BS,Webinar,0.0
2013,BT,Intro,0.0
2013,BT,Nodal,0.0
2013,BT,Partner,0.0
2013,BT,Public,0.0
2013,BT,Regional,0.0
2013,BT,Seminar,0.0
2013,BT,Symposium,0.0
2013,BT,Webinar,0.0
2013,BW,Intro,0.0
2013,BW,Nodal,0.0
2013,BW,Partner,0.0
2013,BW,Public,0.0
2013,BW,Regional,0.0
2013,BW,Seminar,0.0
2013,BW,Symposium,0.0
2013,BW,Webinar,0.0
2013,BZ,Intro,0.0
2013,BZ,Nodal,0.0
2013,BZ,Partner,0.0
2013,BZ,Public,0.0
2013,BZ,Regional,0.0
2013,BZ,Seminar,0.0
2013,BZ,Symposium,0.0
2013,BZ,Webinar,0.0
2013,CA,Intro,0.0
2013,CA,Nodal,1.0
2013,CA,Partner,18.0
2013,CA,Public,0.0
2013,CA,Regional,0.0
2013,CA,Seminar,0.0
2013,CA,Symposium,0.0
2013,CA,Webinar,0.0
2013,CH,Intro,0.0
2013,CH,Nodal,0.0
2013,CH,Partner,0.0
2013,CH,Public,1.0
2013,CH,Regional,3.0
2013,CH,Seminar,0.0
2013,CH,Symposium,0.0
2013,CH,Webinar,0.0
2013,CI,Intro,0.0
2013,CI,Nodal,0.0
2013,CI,Partner,0.0
2013,CI,Public,0.0
2013,CI,Regional,0.0
2013,CI,Seminar,0.0
2013,CI,Symposium,0.0
2013,CI,Webinar,0.0
2013,CL,Intro,0.0
2013,CL,Nodal,1.0
2013,CL,Partner,23.0
2013,CL,Public,0.0
2013,CL,Regional,0.0
2013,CL,Seminar,0.0
2013,CL,Symposium,0.0
2013,CL,Webinar,0.0
2013,CM,Intro,0.0
2013,CM,Nodal,0.0
2013,CM,Partner,0.0
2013,CM,Public,1.0
2013,CM,Regional,0.0
2013,CM,Seminar,0.0
2013,CM,Symposium,0.0
2013,CM,Webinar,0.0
2013,CN,Intro,0.0
2013,CN,Nodal,0.0
2013,CN,Partner,0.0
2013,CN,Public,2.0
2013,CN,Regional,1.0
2013,CN,Seminar,0.0
2013,CN,Symposium,0.0
2013,CN,Webinar,0.0
2013,CO,Intro,0.0
2013,CO,Nodal,0.0
2013,CO,Partner,5.0
2013,CO,Public,0.0
2013,CO,Regional,0.0
2013,CO,Seminar,0.0
2013,CO,Symposium,0.0
2013,CO,Webinar,0.0
2013,CR,Intro,0.0
2013,CR,Nodal,0.0
2013,CR,Partner,2.0
2013,CR,Public,0.0
2013,CR,Regional,0.0
2013,CR,Seminar,0.0
2013,CR,Symposium,0.0
2013,CR,Webinar,0.0
2013,DE,Intro,0.0
2013,DE,Nodal,0.0
2013,DE,Partner,0.0
2013,DE,Public,5.0
2013,DE,Regional,0.0
2013,DE,Seminar,0.0
2013,DE,Symposium,0.0
2013,DE,Webinar,0.0
2013,DK,Intro,0.0
2013,DK,Nodal,0.0
2013,DK,Partner,0.0
2013,DK,Public,2.0
2013,DK,Regional,0.0
2013,DK,Seminar,0.0
2013,DK,Symposium,0.0
2013,DK,Webinar,0.0
2013,DO,Intro,0.0
2013,DO,Nodal,0.0
2013,DO,Partner,3.0
2013,DO,Public,0.0
2013,DO,Regional,0.0
2013,DO,Seminar,0.0
2013,DO,Symposium,0.0
2013,DO,Webinar,0.0
2013,EC,Intro,0.0
2013,EC,Nodal,0.0
2013,EC,Partner,4.0
2013,EC,Public,0.0
2013,EC,Regional,0.0
2013,EC,Seminar,0.0
2013,EC,Symposium,0.0
2013,EC,Webinar,0.0
2013,EG,Intro,0.0
2013,EG,Nodal,0.0
2013,EG,Partner,0.0
2013,EG,Public,0.0
2013,EG,Regional,0.0
2013,EG,Seminar,0.0
2013,EG,Symposium,0.0
2013,EG,Webinar,0.0
2013,ES,Intro,30.0
2013,ES,Nodal,0.0
2013,ES,Partner,0.0
2013,ES,Public,0.0
2013,ES,Regional,0.0
2013,ES,Seminar,0.0
2013,ES,Symposium,0.0
2013,ES,Webinar,0.0
2013,ET,Intro,0.0
2013,ET,Nodal,0.0
2013,ET,Partner,0.0
2013,ET,Public,0.0
2013,ET,Regional,0.0
2013,ET,Seminar,0.0
2013,ET,Symposium,0.0
2013,ET,Webinar,0.0
2013,FR,Intro,0.0
2013,FR,Nodal,0.0
2013,FR,Partner,0.0
2013,FR,Public,0.0
2013,FR,Regional,0.0
2013,FR,Seminar,0.0
2013,FR,Symposium,0.0
2013,FR,Webinar,0.0
2013,GB,Intro,76.0
2013,GB,Nodal,0.0
2013,GB,Partner,0.0
2013,GB,Public,1.0
2013,GB,Regional,66.0
2013,GB,Seminar,0.0
2013,GB,Symposium,0.0
2013,GB,Webinar,0.0
2013,GE,Intro,0.0
2013,GE,Nodal,0.0
2013,GE,Partner,0.0
2013,GE,Public,0.0
2013,GE,Regional,2.0
2013,GE,Seminar,0.0
2013,GE,Symposium,0.0
2013,GE,Webinar,0.0
2013,GH,Intro,0.0
2013,GH,Nodal,0.0
2013,GH,Partner,0.0
2013,GH,Public,0.0
2013,GH,Regional,0.0
2013,GH,Seminar,0.0
2013,GH,Symposium,0.0
2013,GH,Webinar,0.0
2013,GR,Intro,0.0
2013,GR,Nodal,0.0
2013,GR,Partner,0.0
2013,GR,Public,0.0
2013,GR,Regional,0.0
2013,GR,Seminar,0.0
2013,GR,Symposium,0.0
2013,GR,Webinar,0.0
2013,GT,Intro,0.0
2013,GT,Nodal,0.0
2013,GT,Partner,2.0
2013,GT,Public,0.0
2013,GT,Regional,0.0
2013,GT,Seminar,0.0
2013,GT,Symposium,0.0
2013,GT,Webinar,0.0
2013,HU,Intro,0.0
2013,HU,Nodal,0.0
2013,HU,Partner,0.0
2013,HU,Public,1.0
2013,HU,Regional,0.0
2013,HU,Seminar,0.0
2013,HU,Symposium,0.0
2013,HU,Webinar,0.0
2013,ID,Intro,0.0
2013,ID,Nodal,0.0
2013,ID,Partner,0.0
2013,ID,Public,3.0
2013,ID,Regional,0.0
2013,ID,Seminar,0.0
2013,ID,Symposium,0.0
2013,ID,Webinar,0.0
2013,IL,Intro,0.0
2013,IL,Nodal,0.0
2013,IL,Partner,0.0
2013,IL,Public,0.0
2013,IL,Regional,0.0
2013,IL,Seminar,0.0
2013,IL,Symposium,0.0
2013,IL,Webinar,0.0
2013,IN,Intro,0.0
2013,IN,Nodal,0.0
2013,IN,Partner,0.0
2013,IN,Public,0.0
2013,IN,Regional,0.0
2013,IN,Seminar,0.0
2013,IN,Symposium,0.0
2013,IN,Webinar,0.0
2013,IT,Intro,0.0
2013,IT,Nodal,0.0
2013,IT,Partner,0.0
2013,IT,Public,0.0
2013,IT,Regional,2.0
2013,IT,Seminar,0.0
2013,IT,Symposium,0.0
2013,IT,Webinar,0.0
2013,JM,Intro,0.0
2013,JM,Nodal,0.0
2013,JM,Partner,0.0
2013,JM,Public,0.0
2013,JM,Regional,0.0
2013,JM,Seminar,0.0
2013,JM,Symposium,0.0
2013,JM,Webinar,0.0
2013,JO,Intro,0.0
2013,JO,Nodal,0.0
2013,JO,Partner,0.0
2013,JO,Public,0.0
2013,JO,Regional,0.0
2013,JO,Seminar,0.0
2013,JO,Symposium,0.0
2013,JO,Webinar,0.0
2013,JP,Intro,0.0
2013,JP,Nodal,0.0
2013,JP,Partner,0.0
2013,JP,Public,1.0
2013,JP,Regional,0.0
2013,JP,Seminar,0.0
2013,JP,Symposium,0.0
2013,JP,Webinar,0.0
2013,KE,Intro,0.0
2013,KE,Nodal,0.0
2013,KE,Partner,0.0
2013,KE,Public,1.0
2013,KE,Regional,0.0
2013,KE,Seminar,0.0
2013,KE,Symposium,0.0
2013,KE,Webinar,0.0
2013,KG,Intro,0.0
2013,KG,Nodal,0.0
2013,KG,Partner,1.0
2013,KG,Public,0.0
2013,KG,Regional,0.0
2013,KG,Seminar,0.0
2013,KG,Symposium,0.0
2013,KG,Webinar,0.0
2013,KH,Intro,0.0
2013,KH,Nodal,0.0
