Country,Year,Number_of_Participants,fillKey
ARG,2013,28,18-30
ARG,2014,0,UNKNOWN
ARG,2015,0,UNKNOWN
ARG,2016,1,1-8
ARG,2017,0,UNKNOWN
ARG,2018,0,UNKNOWN
AUS,2013,6,1-8
AUS,2014,0,UNKNOWN
AUS,2015,0,UNKNOWN
AUS,2016,4,1-8
AUS,2017,1,1-8
AUS,2018,7,1-8
AUT,2013,0,UNKNOWN
AUT,2014,0,UNKNOWN
AUT,2015,2,1-8
AUT,2016,0,UNKNOWN
AUT,2017,0,UNKNOWN
AUT,2018,0,UNKNOWN
BHS,2013,0,UNKNOWN
BHS,2014,0,UNKNOWN
BHS,2015,0,UNKNOWN
BHS,2016,2,1-8
BHS,2017,2,1-8
BHS,2018,0,UNKNOWN
BGD,2013,0,UNKNOWN
BGD,2014,0,UNKNOWN
BGD,2015,1,1-8
BGD,2016,0,UNKNOWN
BGD,2017,0,UNKNOWN
BGD,2018,0,UNKNOWN
BRB,2013,0,UNKNOWN
BRB,2014,2,1-8
BRB,2015,19,18-30
BRB,2016,2,1-8
BRB,2017,0,UNKNOWN
BRB,2018,0,UNKNOWN
BEL,2013,0,UNKNOWN
BEL,2014,1,1-8
BEL,2015,0,UNKNOWN
BEL,2016,0,UNKNOWN
BEL,2017,0,UNKNOWN
BEL,2018,0,UNKNOWN
BEL,2013,1,1-8
BEL,2014,0,UNKNOWN
BEL,2015,0,UNKNOWN
BEL,2016,0,UNKNOWN
BEL,2017,0,UNKNOWN
BEL,2018,0,UNKNOWN
BLZ,2013,0,UNKNOWN
BLZ,2014,0,UNKNOWN
BLZ,2015,0,UNKNOWN
BLZ,2016,1,1-8
BLZ,2017,0,UNKNOWN
BLZ,2018,0,UNKNOWN
BEN,2013,0,UNKNOWN
BEN,2014,0,UNKNOWN
BEN,2015,0,UNKNOWN
BEN,2016,2,1-8
BEN,2017,0,UNKNOWN
BEN,2018,0,UNKNOWN
BTN,2013,0,UNKNOWN
BTN,2014,0,UNKNOWN
BTN,2015,23,18-30
BTN,2016,2,1-8
BTN,2017,0,UNKNOWN
BTN,2018,0,UNKNOWN
BOL,2013,0,UNKNOWN
BOL,2014,1,1-8
BOL,2015,0,UNKNOWN
BOL,2016,1,1-8
BOL,2017,0,UNKNOWN
BOL,2018,0,UNKNOWN
BWA,2013,0,UNKNOWN
BWA,2014,0,UNKNOWN
BWA,2015,1,1-8
BWA,2016,0,UNKNOWN
BWA,2017,0,UNKNOWN
BWA,2018,0,UNKNOWN
BRA,2013,1,1-8
BRA,2014,0,UNKNOWN
BRA,2015,0,UNKNOWN
BRA,2016,0,UNKNOWN
BRA,2017,0,UNKNOWN
BRA,2018,0,UNKNOWN
BRA,2013,8,1-8
BRA,2014,4,1-8
BRA,2015,0,UNKNOWN
BRA,2016,4,1-8
BRA,2017,2,1-8
BRA,2018,23,18-30
BGR,2013,1,1-8
BGR,2014,0,UNKNOWN
BGR,2015,0,UNKNOWN
BGR,2016,0,UNKNOWN
BGR,2017,0,UNKNOWN
BGR,2018,0,UNKNOWN
KHM,2013,24,18-30
KHM,2014,1,1-8
KHM,2015,7,1-8
KHM,2016,2,1-8
KHM,2017,0,UNKNOWN
KHM,2018,0,UNKNOWN
CMR,2013,1,1-8
CMR,2014,0,UNKNOWN
CMR,2015,0,UNKNOWN
CMR,2016,0,UNKNOWN
CMR,2017,0,UNKNOWN
CMR,2018,0,UNKNOWN
CAN,2013,19,18-30
CAN,2014,4,1-8
CAN,2015,0,UNKNOWN
CAN,2016,6,1-8
CAN,2017,10,9-17
CAN,2018,6,1-8
CHL,2013,24,18-30
CHL,2014,2,1-8
CHL,2015,0,UNKNOWN
CHL,2016,0,UNKNOWN
CHL,2017,0,UNKNOWN
CHL,2018,3,1-8
CHN,2013,3,1-8
CHN,2014,3,1-8
CHN,2015,1,1-8
CHN,2016,12,9-17
CHN,2017,381,172-381
CHN,2018,343,172-381
COL,2013,5,1-8
COL,2014,3,1-8
COL,2015,18,18-30
COL,2016,3,1-8
COL,2017,4,1-8
COL,2018,3,1-8
CRI,2013,2,1-8
CRI,2014,8,1-8
CRI,2015,0,UNKNOWN
CRI,2016,0,UNKNOWN
CRI,2017,1,1-8
CRI,2018,2,1-8
CIV,2013,0,UNKNOWN
CIV,2014,0,UNKNOWN
CIV,2015,0,UNKNOWN
CIV,2016,0,UNKNOWN
CIV,2017,0,UNKNOWN
CIV,2018,1,1-8
DNK,2013,2,1-8
DNK,2014,0,UNKNOWN
DNK,2015,0,UNKNOWN
DNK,2016,0,UNKNOWN
DNK,2017,1,1-8
DNK,2018,0,UNKNOWN
ECU,2013,4,1-8
ECU,2014,2,1-8
ECU,2015,31,31-44
ECU,2016,1,1-8
ECU,2017,2,1-8
ECU,2018,1,1-8
EGY,2013,0,UNKNOWN
EGY,2014,0,UNKNOWN
EGY,2015,1,1-8
EGY,2016,0,UNKNOWN
EGY,2017,0,UNKNOWN
EGY,2018,0,UNKNOWN
ETH,2013,0,UNKNOWN
ETH,2014,0,UNKNOWN
ETH,2015,6,1-8
ETH,2016,1,1-8
ETH,2017,0,UNKNOWN
ETH,2018,1,1-8
FRA,2013,0,UNKNOWN
FRA,2014,4,1-8
FRA,2015,7,1-8
FRA,2016,4,1-8
FRA,2017,3,1-8
FRA,2018,3,1-8
GEO,2013,2,1-8
GEO,2014,0,UNKNOWN
GEO,2015,0,UNKNOWN
GEO,2016,0,UNKNOWN
GEO,2017,0,UNKNOWN
GEO,2018,0,UNKNOWN
DEU,2013,5,1-8
DEU,2014,1,1-8
DEU,2015,5,1-8
DEU,2016,4,1-8
DEU,2017,5,1-8
DEU,2018,3,1-8
GHA,2013,0,UNKNOWN
GHA,2014,0,UNKNOWN
GHA,2015,2,1-8
GHA,2016,0,UNKNOWN
GHA,2017,0,UNKNOWN
GHA,2018,0,UNKNOWN
GRC,2013,0,UNKNOWN
GRC,2014,1,1-8
GRC,2015,0,UNKNOWN
GRC,2016,0,UNKNOWN
GRC,2017,0,UNKNOWN
GRC,2018,0,UNKNOWN
GTM,2013,2,1-8
GTM,2014,0,UNKNOWN
GTM,2015,0,UNKNOWN
GTM,2016,1,1-8
GTM,2017,0,UNKNOWN
GTM,2018,0,UNKNOWN
HUN,2013,1,1-8
HUN,2014,0,UNKNOWN
HUN,2015,1,1-8
HUN,2016,0,UNKNOWN
HUN,2017,0,UNKNOWN
HUN,2018,0,UNKNOWN
IND,2013,0,UNKNOWN
IND,2014,62,45-89
IND,2015,0,UNKNOWN
IND,2016,1,1-8
IND,2017,0,UNKNOWN
IND,2018,2,1-8
IDN,2013,3,1-8
IDN,2014,1,1-8
IDN,2015,3,1-8
IDN,2016,3,1-8
IDN,2017,2,1-8
IDN,2018,3,1-8
ISR,2013,0,UNKNOWN
ISR,2014,1,1-8
ISR,2015,1,1-8
ISR,2016,0,UNKNOWN
ISR,2017,0,UNKNOWN
ISR,2018,1,1-8
ITA,2013,2,1-8
ITA,2014,4,1-8
ITA,2015,15,9-17
ITA,2016,0,UNKNOWN
ITA,2017,0,UNKNOWN
ITA,2018,2,1-8
JAM,2013,0,UNKNOWN
JAM,2014,0,UNKNOWN
JAM,2015,0,UNKNOWN
JAM,2016,0,UNKNOWN
JAM,2017,0,UNKNOWN
JAM,2018,1,1-8
JPN,2013,1,1-8
JPN,2014,1,1-8
JPN,2015,0,UNKNOWN
JPN,2016,0,UNKNOWN
JPN,2017,1,1-8
JPN,2018,3,1-8
JOR,2013,0,UNKNOWN
JOR,2014,0,UNKNOWN
JOR,2015,1,1-8
JOR,2016,0,UNKNOWN
JOR,2017,0,UNKNOWN
JOR,2018,0,UNKNOWN
KAZ,2013,0,UNKNOWN
KAZ,2014,0,UNKNOWN
KAZ,2015,1,1-8
KAZ,2016,0,UNKNOWN
KAZ,2017,0,UNKNOWN
KAZ,2018,0,UNKNOWN
KEN,2013,1,1-8
KEN,2014,0,UNKNOWN
KEN,2015,40,31-44
KEN,2016,0,UNKNOWN
KEN,2017,0,UNKNOWN
KEN,2018,2,1-8
KOR,2013,0,UNKNOWN
KOR,2014,24,18-30
KOR,2015,0,UNKNOWN
KOR,2016,0,UNKNOWN
KOR,2017,0,UNKNOWN
KOR,2018,0,UNKNOWN
KGZ,2013,1,1-8
KGZ,2014,0,UNKNOWN
KGZ,2015,0,UNKNOWN
KGZ,2016,0,UNKNOWN
KGZ,2017,0,UNKNOWN
KGZ,2018,0,UNKNOWN
KGZ,2013,0,UNKNOWN
KGZ,2014,0,UNKNOWN
KGZ,2015,0,UNKNOWN
KGZ,2016,1,1-8
KGZ,2017,0,UNKNOWN
KGZ,2018,0,UNKNOWN
LAO,2013,1,1-8
LAO,2014,0,UNKNOWN
LAO,2015,3,1-8
LAO,2016,0,UNKNOWN
LAO,2017,0,UNKNOWN
LAO,2018,0,UNKNOWN
LBR,2013,0,UNKNOWN
LBR,2014,0,UNKNOWN
LBR,2015,0,UNKNOWN
LBR,2016,0,UNKNOWN
LBR,2017,0,UNKNOWN
LBR,2018,1,1-8
LTU,2013,0,UNKNOWN
LTU,2014,2,1-8
LTU,2015,0,UNKNOWN
LTU,2016,0,UNKNOWN
LTU,2017,0,UNKNOWN
LTU,2018,1,1-8
MDG,2013,0,UNKNOWN
MDG,2014,0,UNKNOWN
MDG,2015,0,UNKNOWN
MDG,2016,0,UNKNOWN
MDG,2017,2,1-8
MDG,2018,0,UNKNOWN
MYS,2013,2,1-8
MYS,2014,0,UNKNOWN
MYS,2015,3,1-8
