Country,Year,Number of Participants
Argentina,2013,28.0
Argentina,2018,0.0
Argentina,2015,0.0
Argentina,2017,0.0
Argentina,2016,1.0
Argentina,2014,0.0
Australia,2013,6.0
Australia,2016,4.0
Australia,2018,7.0
Australia,2015,0.0
Australia,2017,1.0
Australia,2014,0.0
Austria,2018,0.0
Austria,2015,2.0
Austria,2017,0.0
Austria,2016,0.0
Austria,2013,0.0
Austria,2014,0.0
Bahamas,2014,0.0
Bahamas,2016,2.0
Bahamas,2017,2.0
Bahamas,2018,0.0
Bahamas,2013,0.0
Bahamas,2015,0.0
Bangladesh,2018,0.0
Bangladesh,2013,0.0
Bangladesh,2014,0.0
Bangladesh,2015,1.0
Bangladesh,2017,0.0
Bangladesh,2016,0.0
Barbados,2013,0.0
Barbados,2015,19.0
Barbados,2018,0.0
Barbados,2017,0.0
Barbados,2014,2.0
Barbados,2016,2.0
Belgian,2014,1.0
Belgian,2017,0.0
Belgian,2018,0.0
Belgian,2016,0.0
Belgian,2013,0.0
Belgian,2015,0.0
Belgium,2017,0.0
Belgium,2018,0.0
Belgium,2016,0.0
Belgium,2015,0.0
Belgium,2013,1.0
Belgium,2014,0.0
Belize,2017,0.0
Belize,2014,0.0
Belize,2015,0.0
Belize,2018,0.0
Belize,2013,0.0
Belize,2016,1.0
Benin,2016,2.0
Benin,2014,0.0
Benin,2018,0.0
Benin,2013,0.0
Benin,2015,0.0
Benin,2017,0.0
Bhutan,2013,0.0
Bhutan,2018,0.0
Bhutan,2015,23.0
Bhutan,2016,2.0
Bhutan,2017,0.0
Bhutan,2014,0.0
Bolivia,2018,0.0
Bolivia,2017,0.0
Bolivia,2014,1.0
Bolivia,2015,0.0
Bolivia,2013,0.0
Bolivia,2016,1.0
Botswana,2016,0.0
Botswana,2014,0.0
Botswana,2018,0.0
Botswana,2017,0.0
Botswana,2015,1.0
Botswana,2013,0.0
Brasil,2017,0.0
Brasil,2015,0.0
Brasil,2018,0.0
Brasil,2014,0.0
Brasil,2016,0.0
Brasil,2013,1.0
Brazil,2016,4.0
Brazil,2017,2.0
Brazil,2014,4.0
Brazil,2013,8.0
Brazil,2015,0.0
Brazil,2018,23.0
Bulgaria,2016,0.0
Bulgaria,2014,0.0
Bulgaria,2018,0.0
Bulgaria,2015,0.0
Bulgaria,2013,1.0
Bulgaria,2017,0.0
Cambodia,2015,7.0
Cambodia,2014,1.0
Cambodia,2013,24.0
Cambodia,2016,2.0
Cambodia,2018,0.0
Cambodia,2017,0.0
Cameroon,2014,0.0
Cameroon,2016,0.0
Cameroon,2013,1.0
Cameroon,2017,0.0
Cameroon,2015,0.0
Cameroon,2018,0.0
Canada,2015,0.0
Canada,2018,6.0
Canada,2017,10.0
Canada,2014,4.0
Canada,2013,19.0
Canada,2016,6.0
Chile,2015,0.0
Chile,2017,0.0
Chile,2018,3.0
Chile,2014,2.0
Chile,2016,0.0
Chile,2013,24.0
China,2018,343.0
China,2015,1.0
China,2013,3.0
China,2016,12.0
China,2014,3.0
China,2017,381.0
Colombia,2016,3.0
Colombia,2017,4.0
Colombia,2013,5.0
Colombia,2015,18.0
Colombia,2014,3.0
Colombia,2018,3.0
Costa Rica,2018,2.0
Costa Rica,2017,1.0
Costa Rica,2013,2.0
Costa Rica,2016,0.0
Costa Rica,2015,0.0
Costa Rica,2014,8.0
Côte-d'Ivoire,2014,0.0
Côte-d'Ivoire,2016,0.0
Côte-d'Ivoire,2015,0.0
Côte-d'Ivoire,2013,0.0
Côte-d'Ivoire,2018,1.0
Côte-d'Ivoire,2017,0.0
Denmark,2016,0.0
Denmark,2014,0.0
Denmark,2013,2.0
Denmark,2015,0.0
Denmark,2017,1.0
Denmark,2018,0.0
Ecuador,2015,31.0
Ecuador,2014,2.0
Ecuador,2017,2.0
Ecuador,2016,1.0
Ecuador,2018,1.0
Ecuador,2013,4.0
Egypt,2017,0.0
Egypt,2013,0.0
Egypt,2018,0.0
Egypt,2015,1.0
