Country,Year,Number of Participants
Argentina,2013,28.0
Argentina,2017,0.0
Argentina,2018,0.0
Argentina,2015,0.0
Argentina,2016,0.0
Argentina,2014,0.0
Barbados,2013,0.0
Barbados,2018,0.0
Barbados,2015,19.0
Barbados,2016,0.0
Barbados,2017,0.0
Barbados,2014,0.0
Bhutan,2018,0.0
Bhutan,2017,0.0
Bhutan,2016,0.0
Bhutan,2015,23.0
Bhutan,2013,0.0
Bhutan,2014,0.0
Brazil,2018,35.0
Brazil,2015,0.0
Brazil,2016,0.0
Brazil,2014,0.0
Brazil,2017,0.0
Brazil,2013,0.0
Cambodia,2016,0.0
Cambodia,2014,25.0
Cambodia,2018,0.0
Cambodia,2013,30.0
Cambodia,2017,0.0
Cambodia,2015,49.0
Canada,2015,0.0
Canada,2013,18.0
Canada,2018,0.0
Canada,2014,0.0
Canada,2017,0.0
Canada,2016,0.0
Chile,2013,24.0
Chile,2016,0.0
Chile,2018,0.0
Chile,2015,0.0
Chile,2017,0.0
Chile,2014,0.0
China,2013,0.0
China,2018,349.0
China,2016,0.0
China,2015,0.0
China,2017,351.0
China,2014,0.0
Colombia,2016,0.0
Colombia,2017,0.0
Colombia,2014,0.0
Colombia,2015,18.0
Colombia,2013,0.0
Colombia,2018,0.0
Costa Rica,2017,0.0
Costa Rica,2015,0.0
Costa Rica,2016,0.0
Costa Rica,2018,0.0
Costa Rica,2014,54.0
Costa Rica,2013,0.0
Ecuador,2014,0.0
Ecuador,2013,0.0
Ecuador,2017,29.0
Ecuador,2016,0.0
Ecuador,2015,34.0
Ecuador,2018,0.0
England,2017,0.0
England,2016,0.0
England,2015,0.0
England,2014,0.0
England,2013,120.0
England,2018,0.0
Finland,2016,0.0
Finland,2017,0.0
Finland,2015,0.0
Finland,2014,0.0
Finland,2018,16.0
Finland,2013,0.0
India,2018,0.0
India,2014,60.0
India,2016,0.0
India,2017,0.0
India,2013,0.0
India,2015,0.0
Indonesia,2017,0.0
Indonesia,2015,0.0
Indonesia,2013,38.0
Indonesia,2016,0.0
Indonesia,2018,0.0
Indonesia,2014,0.0
Italy,2015,30.0
Italy,2014,0.0
Italy,2013,0.0
Italy,2016,0.0
Italy,2018,0.0
Italy,2017,0.0
Kenya,2013,0.0
Kenya,2017,0.0
Kenya,2014,0.0
Kenya,2016,0.0
Kenya,2015,57.0
Kenya,2018,0.0
Korea,2017,0.0
Korea,2015,0.0
Korea,2014,34.0
Korea,2013,0.0
Korea,2016,0.0
Korea,2018,0.0
Mongolia,2014,0.0
Mongolia,2013,20.0
Mongolia,2016,0.0
Mongolia,2018,0.0
Mongolia,2015,0.0
Mongolia,2017,0.0
Mozambique,2016,54.0
Mozambique,2018,0.0
Mozambique,2015,0.0
Mozambique,2013,24.0
Mozambique,2014,0.0
Mozambique,2017,0.0
Myanmar,2013,0.0
Myanmar,2014,0.0
Myanmar,2015,0.0
Myanmar,2016,0.0
Myanmar,2018,12.0
Myanmar,2017,0.0
Nicaragua,2015,0.0
Nicaragua,2018,0.0
Nicaragua,2014,0.0
Nicaragua,2016,0.0
Nicaragua,2017,0.0
Nicaragua,2013,28.0
Panama,2015,0.0
Panama,2014,0.0
Panama,2017,0.0
Panama,2016,0.0
Panama,2018,0.0
Panama,2013,22.0
Peru,2016,0.0
Peru,2018,34.0
Peru,2014,0.0
Peru,2015,0.0
Peru,2017,0.0
Peru,2013,52.0
Romania,2018,0.0
Romania,2016,0.0
Romania,2015,0.0
Romania,2014,0.0
Romania,2013,0.0
Romania,2017,22.0
Scotland,2017,0.0
Scotland,2013,33.0
Scotland,2016,0.0
Scotland,2015,0.0
Scotland,2014,0.0
Scotland,2018,0.0
South Africa,2017,0.0
South Africa,2018,0.0
South Africa,2014,0.0
South Africa,2016,0.0
South Africa,2013,0.0
South Africa,2015,25.0
Spain,2013,30.0
Spain,2018,0.0
Spain,2016,0.0
Spain,2017,0.0
Spain,2014,27.0
Spain,2015,0.0
Suriname,2013,0.0
Suriname,2018,0.0
Suriname,2016,0.0
Suriname,2014,0.0
Suriname,2015,0.0
Suriname,2017,37.0
Switzerland,2013,0.0
Switzerland,2014,0.0
Switzerland,2015,38.0
Switzerland,2016,0.0
Switzerland,2017,0.0
Switzerland,2018,9.0
USA,2014,203.0
USA,2015,230.0
USA,2018,0.0
USA,2013,265.0
USA,2016,245.0
USA,2017,37.0
United States,2014,0.0
United States,2015,0.0
United States,2018,283.0
United States,2013,0.0
United States,2017,264.0
United States,2016,128.0
Virtual,2015,18.0
Virtual,2016,0.0
Virtual,2014,77.0
Virtual,2013,25.0
Virtual,2017,0.0
Virtual,2018,0.0
